CEST;"Descricao";Inicio;Fim
0200700;"Cooler";2018-01-01;2023-08-31
0200700;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0200800;"Gim (gin) e genebra";2018-01-01;2023-08-31
0200800;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0200900;"Jurubeba e similares";2018-01-01;2023-08-31
0200900;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0201000;"Licores e similares";2018-01-01;2023-08-31
0201000;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0201100;"Pisco";2018-01-01;2023-08-31
0201100;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0201200;"Rum";2018-01-01;2023-08-31
0201200;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0201300;"Saquê";2018-01-01;2023-08-31
0201300;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0201400;"Steinhaeger";2018-01-01;2023-08-31
0201400;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0201500;"Tequila";2018-01-01;2023-08-31
0201500;"Verificar, para o CEST, a descrição vigente para cada período no Convênio ICMS 142/18";2023-09-01;
0201600;"Uísque";2018-01-01;2023-08-31
